epi_week,state,loc,loc_type,disease,cases,incidence_per_100000
192801,WA,WASHINGTON,STATE,MEASLES,230,14.83
192802,WA,WASHINGTON,STATE,MEASLES,269,17.34
192803,WA,WASHINGTON,STATE,MEASLES,243,15.67
192804,WA,WASHINGTON,STATE,MEASLES,198,12.77
192805,WA,WASHINGTON,STATE,MEASLES,292,18.83
192806,WA,WASHINGTON,STATE,MEASLES,275,17.73
192807,WA,WASHINGTON,STATE,MEASLES,278,17.92
192808,WA,WASHINGTON,STATE,MEASLES,279,17.99
192809,WA,WASHINGTON,STATE,MEASLES,363,23.4
192810,WA,WASHINGTON,STATE,MEASLES,308,19.86
192811,WA,WASHINGTON,STATE,MEASLES,273,17.6
192812,WA,WASHINGTON,STATE,MEASLES,278,17.92
192813,WA,WASHINGTON,STATE,MEASLES,193,12.44
192814,WA,WASHINGTON,STATE,MEASLES,151,9.74
192815,WA,WASHINGTON,STATE,MEASLES,183,11.8
192816,WA,WASHINGTON,STATE,MEASLES,119,7.67
192817,WA,WASHINGTON,STATE,MEASLES,165,10.64
192818,WA,WASHINGTON,STATE,MEASLES,126,8.12
192819,WA,WASHINGTON,STATE,MEASLES,130,8.38
192820,WA,WASHINGTON,STATE,MEASLES,88,5.67
192821,WA,WASHINGTON,STATE,MEASLES,78,5.03
192822,WA,WASHINGTON,STATE,MEASLES,67,4.32
192823,WA,WASHINGTON,STATE,MEASLES,62,4
192824,WA,WASHINGTON,STATE,MEASLES,37,2.39
192825,WA,WASHINGTON,STATE,MEASLES,65,4.19
192826,WA,WASHINGTON,STATE,MEASLES,48,3.09
192827,WA,WASHINGTON,STATE,MEASLES,24,1.55
192828,WA,WASHINGTON,STATE,MEASLES,18,1.16
192829,WA,WASHINGTON,STATE,MEASLES,7,0.45
192830,WA,WASHINGTON,STATE,MEASLES,9,0.58
192831,WA,WASHINGTON,STATE,MEASLES,16,1.03
192832,WA,WASHINGTON,STATE,MEASLES,9,0.58
192833,WA,WASHINGTON,STATE,MEASLES,7,0.45
192834,WA,WASHINGTON,STATE,MEASLES,17,1.1
192835,WA,WASHINGTON,STATE,MEASLES,11,0.71
192836,WA,WASHINGTON,STATE,MEASLES,11,0.71
192837,WA,WASHINGTON,STATE,MEASLES,15,0.97
192838,WA,WASHINGTON,STATE,MEASLES,10,0.64
192839,WA,WASHINGTON,STATE,MEASLES,19,1.23
192840,WA,WASHINGTON,STATE,MEASLES,26,1.68
192841,WA,WASHINGTON,STATE,MEASLES,18,1.16
192842,WA,WASHINGTON,STATE,MEASLES,22,1.42
192843,WA,WASHINGTON,STATE,MEASLES,23,1.48
192844,WA,WASHINGTON,STATE,MEASLES,33,2.13
192845,WA,WASHINGTON,STATE,MEASLES,21,1.35
192846,WA,WASHINGTON,STATE,MEASLES,26,1.68
192847,WA,WASHINGTON,STATE,MEASLES,36,2.32
192848,WA,WASHINGTON,STATE,MEASLES,25,1.61
192849,WA,WASHINGTON,STATE,MEASLES,36,2.32
192850,WA,WASHINGTON,STATE,MEASLES,37,2.39
192851,WA,WASHINGTON,STATE,MEASLES,37,2.39
192852,WA,WASHINGTON,STATE,MEASLES,37,2.39
192901,WA,WASHINGTON,STATE,MEASLES,28,1.8
192902,WA,WASHINGTON,STATE,MEASLES,83,5.34
192903,WA,WASHINGTON,STATE,MEASLES,48,3.09
192904,WA,WASHINGTON,STATE,MEASLES,38,2.44
192905,WA,WASHINGTON,STATE,MEASLES,47,3.02
192906,WA,WASHINGTON,STATE,MEASLES,69,4.44
192907,WA,WASHINGTON,STATE,MEASLES,96,6.17
192908,WA,WASHINGTON,STATE,MEASLES,135,8.68
192909,WA,WASHINGTON,STATE,MEASLES,150,9.65
192910,WA,WASHINGTON,STATE,MEASLES,76,4.89
192911,WA,WASHINGTON,STATE,MEASLES,100,6.43
192912,WA,WASHINGTON,STATE,MEASLES,105,6.75
192913,WA,WASHINGTON,STATE,MEASLES,94,6.05
192914,WA,WASHINGTON,STATE,MEASLES,138,8.87
192915,WA,WASHINGTON,STATE,MEASLES,192,12.35
192916,WA,WASHINGTON,STATE,MEASLES,170,10.93
192917,WA,WASHINGTON,STATE,MEASLES,205,13.18
192918,WA,WASHINGTON,STATE,MEASLES,194,12.48
192919,WA,WASHINGTON,STATE,MEASLES,191,12.28
192920,WA,WASHINGTON,STATE,MEASLES,196,12.6
192921,WA,WASHINGTON,STATE,MEASLES,308,19.81
192922,WA,WASHINGTON,STATE,MEASLES,150,9.65
192923,WA,WASHINGTON,STATE,MEASLES,168,10.8
192924,WA,WASHINGTON,STATE,MEASLES,127,8.17
192925,WA,WASHINGTON,STATE,MEASLES,91,5.85
192926,WA,WASHINGTON,STATE,MEASLES,81,5.21
192927,WA,WASHINGTON,STATE,MEASLES,39,2.51
192928,WA,WASHINGTON,STATE,MEASLES,56,3.6
192929,WA,WASHINGTON,STATE,MEASLES,41,2.64
192930,WA,WASHINGTON,STATE,MEASLES,24,1.54
192931,WA,WASHINGTON,STATE,MEASLES,30,1.93
192932,WA,WASHINGTON,STATE,MEASLES,14,0.9
192933,WA,WASHINGTON,STATE,MEASLES,15,0.96
192934,WA,WASHINGTON,STATE,MEASLES,24,1.54
192935,WA,WASHINGTON,STATE,MEASLES,7,0.45
192936,WA,WASHINGTON,STATE,MEASLES,9,0.58
192937,WA,WASHINGTON,STATE,MEASLES,13,0.84
192938,WA,WASHINGTON,STATE,MEASLES,2,0.13
192939,WA,WASHINGTON,STATE,MEASLES,5,0.32
192940,WA,WASHINGTON,STATE,MEASLES,3,0.19
192941,WA,WASHINGTON,STATE,MEASLES,12,0.77
192942,WA,WASHINGTON,STATE,MEASLES,11,0.71
192943,WA,WASHINGTON,STATE,MEASLES,12,0.77
192944,WA,WASHINGTON,STATE,MEASLES,28,1.8
193002,WA,WASHINGTON,STATE,MEASLES,47,3
192945,WA,WASHINGTON,STATE,MEASLES,44,2.83
192946,WA,WASHINGTON,STATE,MEASLES,22,1.41
192947,WA,WASHINGTON,STATE,MEASLES,18,1.16
192948,WA,WASHINGTON,STATE,MEASLES,18,1.16
192949,WA,WASHINGTON,STATE,MEASLES,35,2.25
192950,WA,WASHINGTON,STATE,MEASLES,22,1.41
192951,WA,WASHINGTON,STATE,MEASLES,67,4.31
192952,WA,WASHINGTON,STATE,MEASLES,15,0.96
